scientific_name,group,source,conservation_status,match_level,speciesnet_detectable,geofence_status,speciesnet_common_name,speciesnet_label
Calidris mauri,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris melanotos,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris minutilla,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris pusilla,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris subruficollis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calliphlox amethystina,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calliphlox mitchellii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calochaetes coccineus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Camarhynchus heliobates,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Camarhynchus pallidus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Camarhynchus parvulus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Camarhynchus pauper,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Camarhynchus psittacula,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Campephilus gayaquilensis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Campephilus haematogaster,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,crimson-bellied woodpecker,d9698c2a-82c1-4e38-8683-4c00aaff8ce7;aves;piciformes;picidae;campephilus;haematogaster;crimson-bellied woodpecker
Campephilus melanoleucos,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
